iced-coffee,Iced Coffee,160,39,0
iced-coffee,Iced Coffee,5,0,0
iced-coffee,Iced Coffee,60,15,0
iced-coffee,Iced Coffee,0,0,0
iced-coffee,Iced Coffee,80,20,0
iced-coffee,Iced Coffee,5,0,0
iced-coffee,Iced Coffee,120,30,0
iced-coffee,Iced Coffee,5,0,0
iced-coffee,Iced Coffee with Milk,35,2,2.5
iced-coffee,Iced Coffee with Milk,210,44,3
iced-coffee,Iced Coffee with Milk,50,4,3
iced-coffee,Iced Coffee with Milk,210,46,0
iced-coffee,Iced Coffee with Milk,50,7,0
iced-coffee,Iced Coffee with Milk,240,46,4.5
iced-coffee,Iced Coffee with Milk,90,7,4.5
iced-coffee,Iced Coffee with Milk,230,46,3
iced-coffee,Iced Coffee with Milk,70,7,3
iced-coffee,Iced Coffee with Milk,230,46,2
iced-coffee,Iced Coffee with Milk,70,7,2
iced-coffee,Iced Coffee with Milk,70,15,1
iced-coffee,Iced Coffee with Milk,15,1,1
iced-coffee,Iced Coffee with Milk,80,16,1
iced-coffee,Iced Coffee with Milk,20,2,1
iced-coffee,Iced Coffee with Milk,80,17,0
iced-coffee,Iced Coffee with Milk,20,2,0
iced-coffee,Iced Coffee with Milk,90,17,1.5
iced-coffee,Iced Coffee with Milk,30,2,1.5
iced-coffee,Iced Coffee with Milk,80,17,1
iced-coffee,Iced Coffee with Milk,25,2,1
iced-coffee,Iced Coffee with Milk,90,17,1
iced-coffee,Iced Coffee with Milk,25,2,1
iced-coffee,Iced Coffee with Milk,100,21,1
iced-coffee,Iced Coffee with Milk,20,1,1
iced-coffee,Iced Coffee with Milk,100,22,1.5
iced-coffee,Iced Coffee with Milk,25,2,1.5
iced-coffee,Iced Coffee with Milk,100,23,0
iced-coffee,Iced Coffee with Milk,25,3,0
iced-coffee,Iced Coffee with Milk,120,23,2
iced-coffee,Iced Coffee with Milk,40,3,2
iced-coffee,Iced Coffee with Milk,110,23,1.5
iced-coffee,Iced Coffee with Milk,35,3,1.5
iced-coffee,Iced Coffee with Milk,110,23,1
iced-coffee,Iced Coffee with Milk,35,3,1
iced-coffee,Iced Coffee with Milk,150,31,1.5
iced-coffee,Iced Coffee with Milk,30,1,1.5
iced-coffee,Iced Coffee with Milk,160,33,2.5
iced-coffee,Iced Coffee with Milk,40,3,2.5
iced-coffee,Iced Coffee with Milk,160,35,0
iced-coffee,Iced Coffee with Milk,40,5,0
iced-coffee,Iced Coffee with Milk,190,35,3.5
iced-coffee,Iced Coffee with Milk,70,5,3.5
iced-coffee,Iced Coffee with Milk,170,35,2
iced-coffee,Iced Coffee with Milk,60,5,2
iced-coffee,Iced Coffee with Milk,180,35,1.5
iced-coffee,Iced Coffee with Milk,60,5,1.5
iced-coffee,Iced Espresso Classics  - Vanilla Latte,130,19,2.5
iced-coffee,Iced Espresso Classics - Caffe Mocha,140,21,2.5
iced-coffee,Iced Espresso Classics - Caramel Macchiato,130,19,2.5
iced-coffee,Nitro Cold Brew,5,0,0
iced-coffee,Nitro Cold Brew,5,0,0
iced-coffee,Nitro Cold Brew with Cascara Cold Foam,60,12,0
iced-coffee,Nitro Cold Brew with Cascara Cold Foam,80,18,0
iced-coffee,Nitro Cold Brew with Sweet Cream,70,4,5
iced-coffee,Nitro Cold Brew with Sweet Cream,70,4,5
iced-coffee,Starbucks® Cold Brew Coffee,5,0,0
iced-coffee,Starbucks® Cold Brew Coffee,5,0,0
iced-coffee,Starbucks® Cold Brew Coffee,5,0,0
iced-coffee,Starbucks® Cold Brew Coffee,5,0,0
iced-coffee,Starbucks® Cold Brew Coffee with Milk,15,1,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,20,2,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,20,2,0
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,2,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,25,2,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,25,2,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,20,1,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,25,2,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,25,3,0
iced-coffee,Starbucks® Cold Brew Coffee with Milk,40,3,2
iced-coffee,Starbucks® Cold Brew Coffee with Milk,35,3,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,35,3,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,1,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,40,3,2.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,40,5,0
iced-coffee,Starbucks® Cold Brew Coffee with Milk,70,5,3.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,60,5,2
iced-coffee,Starbucks® Cold Brew Coffee with Milk,60,5,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,40,2,2
iced-coffee,Starbucks® Cold Brew Coffee with Milk,50,4,3
iced-coffee,Starbucks® Cold Brew Coffee with Milk,50,7,0
